4699,2005-01-27,Double Jeopardy!,"SPORTS OF THE FEMALE OLYMPIANS","$400","Mia Hamm, Brandi Chastain & their 9 teammates on the field","soccer"
4699,2005-01-27,Double Jeopardy!,"LOW CUT GENES","$400","Because they develop from a single ovum, this variety of twins has the same genetic makeup","identical"
4699,2005-01-27,Double Jeopardy!,"IN THE DICTIONARY","$400","This math term comes from the Latin frangere, ""to break""","fraction"
4699,2005-01-27,Double Jeopardy!,"FINE DINING","$400","A Vacherin dessert features this crisp concoction of beaten egg whites & sugar","meringue"
4699,2005-01-27,Double Jeopardy!,"TAKE OUT","$400","It's the common operation to remove 2 small oval masses of tissue at the back of the mouth","a tonsillectomy"
4699,2005-01-27,Double Jeopardy!,"CONSTITUTIONAL AMENDMENTS","$6,000","Under the 5th Amendment, 1 of the 3 things that no person shall be deprived of ""without due process of law""","life (or liberty or property)"
4699,2005-01-27,Double Jeopardy!,"SPORTS OF THE FEMALE OLYMPIANS","$800","Sheryl Swoopes, Lisa Leslie & their 3 teammates on the floor","basketball"
4699,2005-01-27,Double Jeopardy!,"LOW CUT GENES","$800","Genes that affect hereditary traits are called alleles & are either ""dominant"" or this","recessive"
4699,2005-01-27,Double Jeopardy!,"IN THE DICTIONARY","$800","This synonym for ""room"" can precede music & maid","chamber"
4699,2005-01-27,Double Jeopardy!,"FINE DINING","$800","NYC sushi chef Masa Takayama has paid more than $120 a pound for this fish--a bit pricier than Star-Kist's","tuna"
4699,2005-01-27,Double Jeopardy!,"TAKE OUT","$800","A rhytidectomy removes these surgically; botox takes them out another way","wrinkles"
4699,2005-01-27,Double Jeopardy!,"CONSTITUTIONAL AMENDMENTS","$1200","The 13th Amendment, which abolished slavery, was ratified in this year","1865"
4699,2005-01-27,Double Jeopardy!,"SPORTS OF THE FEMALE OLYMPIANS","$1200","Misty May & Kerri Walsh","beach volleyball"
4699,2005-01-27,Double Jeopardy!,"LOW CUT GENES","$1200","Since the 1980s this hormone used by diabetics has been produced by genetically engineered bacteria","insulin"
4699,2005-01-27,Double Jeopardy!,"IN THE DICTIONARY","$1200","The name of this 6-pointed star comes from the Greek for ""six"" & ""letter""","a hexagram"
4699,2005-01-27,Double Jeopardy!,"FINE DINING","$1200","This word for a French stew is pronounced the same as a pasta sauce brand","ragout"
4699,2005-01-27,Double Jeopardy!,"TAKE OUT","$1200","A lobectomy removes one of the 5 lobes of the lungs; a lobotomy takes out part of this organ","the brain"
4699,2005-01-27,Double Jeopardy!,"CONSTITUTIONAL AMENDMENTS","$1600","The 24th Amendment says you don't have to pay this type of tax, or any other in order to vote","poll"
4699,2005-01-27,Double Jeopardy!,"SPORTS OF THE FEMALE OLYMPIANS","$1600","Mohini Bhardwaj, Courtney Kupets & their 4 teammates","gymnastics"
